"","Username","Ulasan","Kategori","","","","","","","","","","","","","","","","","","","","","",""
"348","Agus Triyono","Nyaman gelar tikar di sekitar air terjun","positif","","","","","","","","","","","","","","","","","","","","","",""
"349","Batas Vegetasi","Area camp ground dlundung merupakan area camp yang memiliki beberapa area camp yang tergolong luas, area camp dengan mobil untuk teman teman yang suka ber campervan, area dengan view lampu kota dlundung juga memounyai, anda tinggal berjalan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"350","Revendivi AJ","Lokasinya mudah di tuju, hanya melewati dan mengikuti satu jalan lurus saja hingga mentok akan ketemu pintu masuk wisata air terjun dlundung..Tempatnya bener² masih alami,dingin,namun udah ada beberapa warung dan taman² yg sudah di kelola …","positif","","","","","","","","","","","","","","","","","","","","","",""
"351","Ali Kuswandi","Semakin bagus tempatnya, ada lokasi camping & taman kelinci","positif","","","","","","","","","","","","","","","","","","","","","",""
"352","zaenal abidin","wanawisata yg sangat bagus,suasana sejuk sangat alami,belum banyak polesan,tiket masuk sangat terjangkau,harga"" mamin disekitar tempat wisata relatif murah.","positif","","","","","","","","","","","","","","","","","","","","","",""
"353","Yeni Lusiana","Wisata air terjun yg indah di daerah trawas,  bisa tubing juga lo gaess cukup dengan membayar 25rb.  Lokasi mudah dijangkau. Wajib dikunjungi pokoknya,  jgn sampai terlewat buat kamu2 pecinta alam...","positif","","","","","","","","","","","","","","","","","","","","","",""
"354","iswahyuni yuyun","Wisata murah meriah, kalau dari surabaya lebih baik melalui rute mojosari, kalau lewat pandaan kendaraan dan skill driver harus benar2 TOP karena ada tanjakan yang cukup ekstrem","netral","","","","","","","","","","","","","","","","","","","","","",""
"355","pratato humadia","Air terjun masih alami, hawanya sejuk. Fasilitas umum sudah bagus, harga tiket terjangkau. Akan lebih baik  datang ke lokasi agak pagi  karena masih sepi dan bisa sepuasnya selfi.","positif","","","","","","","","","","","","","","","","","","","","","",""
"356","ade noviantoro","Air terjunya bagus tinggi, akses kesana enak gak jauh, jalan kaki cuma 5 menit dari parkiran. Bisa digunakan untuk camping bareng keluarga, tinggal dateng sewa aja langsung disana perangkatnya,
Siplah pokoknya","positif","","","","","","","","","","","","","","","","","","","","","",""
"357","Sen Shine","Tiket masuk untuk 2 org 1 motor seharga 28rb, belum termasuk bayar parkir. Disarankan berkunjung saat weekday kalau mau parkir dekat air terjunnya, agar tidak jalan jauh. Ada beberapa warung juga dekat air terjun.","netral","","","","","","","","","","","","","","","","","","","","","",""
"358","yulipista kristanti","Tempatnya makin bagus. Bersih banget. Dan segar. Benar-benar menjaga kelestarian alamnya. Jangan lupa tetap patuhi prokes ya.
Masker di lepas saat mau foto saja. Jaga jarak dengan istri atau suami orang lain. 😎😉😁 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"359","Gabrielle Rattu","Secara konsep air terjun ini bagus banget,
Ditata ulang, biar bisa dinikmati berbagai macam pengunjung mulai dari orangtua - anak kecil, family-able. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"360","Antonius Jefri","Wisata alamnya bagus tapi masuk ke dalam parkir bayar lagi toilet juga bayar harusnya itu tiket masuk wisata uda termasuk parkir dan fasilitas toilet umum gratis bukan malah di suruh bayar","negatif","","","","","","","","","","","","","","","","","","","","","",""
"361","Ibnu Buana","Wisata alam yg dekat dari sidoarjo, medannya tidak terlalu sulit","positif","","","","","","","","","","","","","","","","","","","","","",""
"362","Stefanus Kurnianto","Sangat cocok buat healing sejenak..","positif","","","","","","","","","","","","","","","","","","","","","",""
"363","Firdaus Griyo Lovebird Gresik","Tempat yg indah & nyaman
Datang pagi Hari agar bisa lebih nyaman dalam Menikmati Air Terjun & Linhkungan sekitar …","positif","","","","","","","","","","","","","","","","","","","","","",""
"364","uris widyawati","Pemandangannya bgus,sejuk,air terjunnya gk seberpa deres.antara tempat parkir dan air terjun deket..pokoknya good job","positif","","","","","","","","","","","","","","","","","","","","","",""
"365","Joyce Juwana","Tempat yg sejuk sekali,airnya bening dan jernih,sekelilingnya bersih.
Cocok utk yg menyukai alam yg hijau.jalan menuju keair terjun ga jauh dari pintu masuk","positif","","","","","","","","","","","","","","","","","","","","","",""
"366","SLGP Adventure","bagus tempatnya luas dan mudah di akses tapi sebelum ke arah pintu masuk jalannya lumayan menanjak dan g lebar","negatif","","","","","","","","","","","","","","","","","","","","","",""
"367","Fang Fang","Lokasi air terjun dan parkiran kendaraan. Tidak jauh. Biaya tiket masuk 10rb er orang biaya parkir 2rb asuransi 1rb (kalau ga salah) lalu nanti ada biaya parkir lagi sekitar 3rb.","netral","","","","","","","","","","","","","","","","","","","","","",""
"368","miftakhul jannah","Tempatnya luas.. Jarak parkir dari air terjun tdak terlalu jauh sehingga mudah djangkau dengan anak2..ada wahana naik kuda.. Tersedia juga tempat makan dan mushola yg bersih","positif","","","","","","","","","","","","","","","","","","","","","",""
"369","Mochammad Aris","Tempat yang menarik dan cocok buat liburan keluarga juga, ada camping groundnya, fasilitas juga lengkap","positif","","","","","","","","","","","","","","","","","","","","","",""
"370","Roy Fadel","Tempat yg sangat nyaman untuk rekreasi keluarga,tiket masuk murah,warung banyak,tempat kemping dekat dengan toilet,bawa anak kecil g ada masalah,mantap","positif","","","","","","","","","","","","","","","","","","","","","",""
"371","Dedik Widjaya","View yg asri alami,,,
Wana wisata keluarga, parkir bisa lgsung dekat sm air terjun,,, tempat sedia banyak spot foto jg Arena bermain","positif","","","","","","","","","","","","","","","","","","","","","",""
"372","Wawan Nurmansyah","Bila ke trawas wajib kesini... bermain air foto2 banyak spotnya... 15rb per orang parkir 5rb... vuuuaasss dahhh... airnya diiigiiiin bingits.... makanan murahhh meriah...👍👍👍pass untuk melepas penatt …","positif","","","","","","","","","","","","","","","","","","","","","",""
"373","Dwi Puspita Nurmalinda","Banyak kuliner murah, ada taman kelinci dan bayar tiket lagi 5 ribu, masuk ke air terjun tiketnya 12500 dan asuransi 500 rupiah total 13 ribu saja","positif","","","","","","","","","","","","","","","","","","","","","",""
"374","Om Hilmi","View nya OK,Air terjunnya jernih alami,HTM murah,ada bumi perkemahan jg,taman kelinci,dan food court.
Smua bisa dinikmati dengan biaya yg g menguras kantong.😊😊 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"375","Iqbal K Sukasdi","Secara untuk yang mau kesini harus siap mental karena jalan sempit dan menanjak,tidak untuk yang kaleng2..sampai disana,juga banyak spot2 foto,cocoknya emang bawa anak2..dan juga bisa camping kalau yg mau..range 100-150K untuj sewa tenda..","netral","","","","","","","","","","","","","","","","","","","","","",""
"376","Evana marheni","Ingin menikmati indahnya alam yg lengkap utk keluarga...dlundung waterfall bisa jadi rekom utk berwisata... indah,sejuk,bersih dan tarif sangat terjangkau....","positif","","","","","","","","","","","","","","","","","","","","","",""
"377","Renita Somadianti Alvianda","Tempat yang asri. Tiket masuk saat saya berkunjung hari sabtu 15rb/orang. Parkir motor 3rb. Tapi di dalam ada parkir motor lagi jadi bayar lagi 2rb. Ada mushola,kamar mandi bersih. Banyak pengunjung yg ngecamp dan mendirikan tenda. Ada …","positif","","","","","","","","","","","","","","","","","","","","","",""
"378","quiquie keepni","Sangat berbahagia bisa kesini dan lebih senengnya lagi bisa manfaatin alam untuk koleksi galeri handheld.. jdi manfaatin liburan lebih mencintai alam sbg rasa syukur akan indahnya tempat kita berada","positif","","","","","","","","","","","","","","","","","","","","","",""
"379","sis wanto","Perlu adanya perawatan, perbaikan, jika sudah masuk area bayar tiket mobil dan penumpang sekalian aja buat parkir mobilnya, jd gak terlalu ribet🙏🙏 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"380","Rizky Ansyah","Tempat yg cocok untuk healing ato menghabiskan waktu weekend bersama keluarga terlebih lagi ada banyak spot foto dan camping ground jadi tambah betah di sana, cuma sayang terlalu banyak biaya untuk masuk kesana,tiket masuk+parkir ternyata …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"381","Rista Ch","Sepanjang perjalanannya sih sejuk bisa dilalui roda 2 dan roda 4 😁 Sampai lokasi ada beberapa tiket masuk yg harus dibayar menuju air terjun 14rb, menuju area spot² foto, taman kelinci, dll semua tiket beda harga 5rb, tapi kurang terawat …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"382","Kusnul Chotimah","Sudah 4 tahun berturut-turut nge camp disini karena acara kampus. Hawa nya sejuk banget, dingin malah. Memang area pegunungan. Disini toilet dan warung banyak. Kalau kesini sekalian jalan jalan jangan di air terjun aja. Sekarang ada taman …","positif","","","","","","","","","","","","","","","","","","","","","",""
"383","Theovilus Theo","Mantaabs ni Water fall Dludung lokasi gak terlalu luas tapi tata ruangnya asyik banget banyak spot buat foto"" 👍👍👍💖🙏Recomended banget. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"384","AFAKEN Juniors","Jelajah afaken rekomendasi liburan keluarga seru
Sudah rame lagi semenjak pandemi. Sdh byk yg ngecamp, vlognya sdh ada lho di afaken juniors","positif","","","","","","","","","","","","","","","","","","","","","",""
"385","wiwid wadmira","Tempat wisata yang bersih dan nyaman. Perawatan sungai, jalan dan toiletnya terjaga. Semua rutin dibersihkan","positif","","","","","","","","","","","","","","","","","","","","","",""
"386","Ayahe Chelsea dan Cinta","Jalannya aja yg lumayan nanjak..main air liat air terjun..ngipi2 jangan lupa sambil liat monyet","positif","","","","","","","","","","","","","","","","","","","","","",""
"387","Dwi Juni Muhammad Sabur","Alhamdulillah...sungguh indah dan mempesona ciptaan Alloh SWT. Dan, lagi suasana alam dan flora di sekitarnya masih asri serta alami seperti 25 tahun yg lalu (tepatnya thn 1997 silam).","positif","","","","","","","","","","","","","","","","","","","","","",""
"388","Nur Laila","Cocok juga tp terlalu padat pengunjung ny ☺️☺️,
senang sm air terjun nya👍👍👌👌🤗🤗 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"389","Muhammad Tsani Ansori","Air terjun adalah air yang jatuh dari atas dan dingin","positif","","","","","","","","","","","","","","","","","","","","","",""
"390","hendra wahyudi","Wisata air terjun yang tidak terlalu besar dengan fasilitas tempat berkemah untuk melatih anak dan keluarga menyatu dengan alam","positif","","","","","","","","","","","","","","","","","","","","","",""
"391","Regita Hayupaksi","Tempatnya sekarang lebih bagus krn selalu tahap pembangunannya.. banyak spot2 foto yang gemesh instagramable banget...","positif","","","","","","","","","","","","","","","","","","","","","",""
"392","Belajar Baik (Baik baik saja)","Tempat yang bagus ,sejuk, cocok buat keluarga 😁 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"393","Ahmad Addzahabi","Tempatnya Kadang ramai,kadang sepi.
Ada area untuk camp","positif","","","","","","","","","","","","","","","","","","","","","",""
"394","Yasmin Chaerunissa","Tempat ini merupakan wana wisata. Suasananya sangat sejuk dan bersih. Ada kavling untuk perkemahan, dan di ujung objek wisata terdapat air terjun Dlundung. Airnya segar sekali. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"395","Sony Wardhana","Air terjun tunggal tp bagus viewnya...jalur masuknya mantaap, ada kolam renang anak n camping ground nya apik","positif","","","","","","","","","","","","","","","","","","","","","",""
"396","Okky Permana","cocok untuk camping santai, bisa juga untuk hiking serius, air terjunnya ada 3 level, yg pertama santai, yg kedua medium, yg ketiga berat","positif","","","","","","","","","","","","","","","","","","","","","",""
"397","hanim permana","Hanya 50 meter jalan sudah bisa mencapai air terjun ini.. sangat cocok buat yg ingin wisata ke air terjun tp nggak ingin capek jalan jauh","positif","","","","","","","","","","","","","","","","","","","","","",""
"398","MAYKI PF","Tempatnya bersih dan terawat, ada camping ground nya. Hanya sayang spot foto di sekitar air terjun menurut saya kurang padahal dan saat parkir di dalam akan dimintai lagi bayar untuk penitipan motor (padahal saat bayar karcis masuk sudah bayar karcis parkir). Semoga kenyamanan dan keamanan selalu ditingkatkan","negatif","","","","","","","","","","","","","","","","","","","","","",""
"399","Shantica Arum Ramadhani","Beberapa fasilitas sudah diperbaiki, mushola, toilet lebih berfungsi dari sebelumnya. Tentu saja pemandangannya  bagus, ditambah beberapa spot foto yang ciamik. Ada retribusi, bisa camping juga. Pelayan ramah, pelayanan baik.","positif","","","","","","","","","","","","","","","","","","","","","",""
"400","Gefi Hariono","Sangaaaattt, sangaaaattt indah dan terawat","positif","","","","","","","","","","","","","","","","","","","","","",""
"401","Yetty Yudiyas_watik","Tempatnya nyaman, dari parkiran ke air terjun deket, ada taman kelinci juga jadi sikecil bisa brmain dn memberi makan kelinci dg sepuasnya, trdapat tempat utk camping brsama kluarga jg,pokokny mantap dah jadi wisata kluarga.","positif","","","","","","","","","","","","","","","","","","","","","",""
"402","jayani fkm","Tempatnya lumayan sejuk, lokasi ke air terjun tidak terlalu jauh, musholla nyaman, recommended untuk me resfresh pikiran 😆 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"403","chandra oktav hidayah","Di loket depan bayar karcis masuk per orang dan parkir motor 2rb tapi mau masuk lokasi parkir motor di tarik lagi 3rb......😜 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"404","Andik Nugroho","Sangat Rekomended untuk Camping, atau sekedar beristirahat melepas lelah dari perjalanan jauh, juga merupakan tempat yang instagramable. Cuma belum tersedia penginapan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"405","Muchamad Yunus","Untuk tempatnya bagus,sejuk alami bersih,banyak warung berjajaran,fasilitas toilet perlu ditambah lagi karena hanya ada 1,sudah ada mushola,HTM weekday kemarin 10rb/orang parkir 2ribu,tapi didalam ada parkir lagi bayar lagi,untuk akses dari …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"406","Mojokerto Jalan Jalan","Salah satu air terjun terbaik di Mojokerto","positif","","","","","","","","","","","","","","","","","","","","","",""
"407","Jejak Putu Lanang","Air Terjun Dlundung selain punya wahan air terjun foto yang ada di bawah ini merupakan lokasi spot foto yang ada sebelum.pas di air terjun sama.di camping ground. Tempatnya mantaap. Terima kasih Mojokerto","positif","","","","","","","","","","","","","","","","","","","","","",""
"408","Nanang Hermawan","Lumayan buat tempat rekreasi bersama keluarga,  sejuk","positif","","","","","","","","","","","","","","","","","","","","","",""
"409","Sector Anarchy","Menyewakan tenda untuk acara komunitas, family camp dll, hubungi 089675753691 (Reza)","netral","","","","","","","","","","","","","","","","","","","","","",""
"410","Anwar Sukses","Keren....cuman seharusnya fasilitas Umum macam toilet diperbanyak dan free sebagai Upaya pelayanan wisatawan","netral","","","","","","","","","","","","","","","","","","","","","",""
"411","n syavira amelia","Tempatnya sudah bagus, selalu ramai.. dibuatkan pijakan untuk spot foto dekat tulisan Dlundung Waterfall. Namun sayang air nya skrg sudah tdk terlalu jenih alias sedikit keruh 😔😔 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"412","Herman Toh","Suatu wana wisata dan bumi perkemahan di lereng gunung arjuno dg wisata air terjunya dan lokasi out bon yg sangat sejuk dg tiket masuk yg lumayan murah.  dg suguhan pemandangan alam pegunungan yg sangat sejuk dan indah","positif","","","","","","","","","","","","","","","","","","","","","",""
"413","Catharina NH","Seruuuu dan sudah tertata dg bagus. Ada taman kelinci untuk edukasi anak - anak. Ada tempat rehat untuk para keluarga. Dan tempat camping juga...","positif","","","","","","","","","","","","","","","","","","","","","",""
"414","58 - Mulik Dhany","Kurang menarik dri segi pemandangan...air terjunnya debit airnya sedikit.mungkin musim kemarau kali ya....tiket masuknya 10rb..itu tidak sesuai dg apa yg dsajikan di dalamnya.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"415","Indra Suhariyanto","Air terjun dan camping ground","positif","","","","","","","","","","","","","","","","","","","","","",""
"416","Zai Yuo","Tempatnya msh bersih,ada musholla,toiletnya jg bersih dr tempat parkir ke air terjun jalannya gak jauh","positif","","","","","","","","","","","","","","","","","","","","","",""
"417","arieska nana","dingin banget.. masih alami.. banyak spot foto buat yg suka selfie.. ada penginapan dan camping groundnya,cocok buat acara outbond banyak juga pedagang makanan/oleh"" khas trawas..","positif","","","","","","","","","","","","","","","","","","","","","",""
"418","Sofyan dwi wahyudi","Bagus. Wisata alam recomend. Selain air terjun juga bisa mendirikan tenda di sekitar air tenjun","positif","","","","","","","","","","","","","","","","","","","","","",""
"419","alin aminata","Kalau weekend rame banget.
Mungkin bisa ke camp ground nya sama bawa hammock
Ada toilet walaupun ga begitu bersih
Banyak orang jualan, dijamin ga bakal kelaparan","netral","","","","","","","","","","","","","","","","","","","","","",""
"420","Samsul Maarif","Air terjun bagus, sudah disediakan pijakan untuk koceh diair deket air terjun..jarak dengan parkiran juga dekat.","positif","","","","","","","","","","","","","","","","","","","","","",""
"421","Fima Permadi","Wisatanya bagus di kelola dgn baik dan sejuk nyaman cocok buat wisata keluarga ada tempt camp juga mantap deh","positif","","","","","","","","","","","","","","","","","","","","","",""
"422","Lidia Maya Sahartin","Pengalaman baru dan pertama nge-camp disini.. sebelumnya sih pernah kesini tapi hanya sekedar berkunjung ke air terjunnya.. dan nge-camp disini menurut saya hal yang menyenangkan, alamnya bersahabat, semua bersahabat juga.. tidur di alam …","positif","","","","","","","","","","","","","","","","","","","","","",""
"423","laili khusnul","Libur akhir pekan  , g ada tujuan mau kmn , akhirnya ke air terjun dlundung aja deh , dr parkiran ke lokasi air terjun ga seberapa jauh jalan kaki nya . .jadinya cuss lah qt kesini . . Sekarang uda rame , jalan menuju lokasi juga sudah bagus , alhamdulillah sdh diperhatikan . .","positif","","","","","","","","","","","","","","","","","","","","","",""
"424","eka juli arianti","Bagus sih cuma disaranin kalo mau menikmati sejuknya air terjun tanpa keramaian lebih baik datang weekday","netral","","","","","","","","","","","","","","","","","","","","","",""
"425","Ridwan Iwan","Sangat natural. Sejuk jg asri
Cocok buat kluarga jg study
Dmn bisa jd tempat edukasi","positif","","","","","","","","","","","","","","","","","","","","","",""
"426","Nurul Istiqomah","Tempatnya sudah memiliki fasilitas yg bagus, dan cocok untuk wisata keluarga. Tp tidak disarankan untuk orang2 yang ngecamp untuk cari ketenangan, karena semua ground camp benar2 ramai dan berisik karena banyak yg membawa sound dangdutan, jd sangat terganggu hehe","netral","","","","","","","","","","","","","","","","","","","","","",""
"427","Christ Channel","Pesona alam dengan udara sejuk.","positif","","","","","","","","","","","","","","","","","","","","","",""
"428","Revo Raditya","Enak,sejuk dingin... Cmn tmpt ganti/toilet hrs bayar.. seharusnya untk fasilitas gratis","negatif","","","","","","","","","","","","","","","","","","","","","",""
"429","WHITE FLOWER","Air terjun Dlundung Trawas Mojokerto...indah  dan exotis..akses menuju air terjun jg sudah bagus tp sayang masih belum ada sewa penginapan...pokoknya ttp mantaapp","netral","","","","","","","","","","","","","","","","","","","","","",""
"430","Ide Baik Beti","Salah satu air terjun yang ada di daerah Trawas dan sekitarnya. Akses nya mudah. Air terjun nya bagus. Mudah di lalui. Ada bumi perkemahan nya juga. Harus dicoba datang kesana 👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"431","dedik purwanto","Buka 24 jam tpi gk ada penenrangan d malam hri tpi tetep dikenakan biaya tiket masuk","negatif","","","","","","","","","","","","","","","","","","","","","",""
"432","Bernadi Tralala","Cukup untuk rekreasi keluarga. Aliran sungai dibawah air terjun termasuk kecil dan dangkal yg mana cocok untuk anak"". Ada banyak warung makanan. Dari bumi perkemahan menuju air terjun cukup dekat dan bisa ditempuh dengan jalan kaki karena jalannya sudah bagus. Ada penyewaan kuda juga.","positif","","","","","","","","","","","","","","","","","","","","","",""
"433","Agnes Devita","Cocok untuk rekreasi keluarga, di bagian depan setelah membayar karcis masuk, ada bumi perkemahan.
Biaya masuk juga murah, tapi lupa berapa. Sepertinya per orang tidak sampai 20ribu.","positif","","","","","","","","","","","","","","","","","","","","","",""
"434","Andik Setiawan","Tempat wisata yg bersih, dan bnyak tempat tempat yg baru 😍😍😍
Untuk bertenda juga bisa bgus buat wisata sama kluarga …","positif","","","","","","","","","","","","","","","","","","","","","",""
"435","Ratna Diana","Suejuk dan Murmer . Kalau datang pas hari libur agak pagian ya.  Kalau Ndak gitu parkirnya jauh.  Dan lumayan kalau jalan kaki.","netral","","","","","","","","","","","","","","","","","","","","","",""
"436","gisma mk","Tempatnya family friendly. Cocok buat rekreasi keluarga. Ada bumi perkemahannya juga. Tapi ga terlalu suka soalnya suasana terlalu rame. Apalagi kalo weekend.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"437","Izzah Fahma","Nyari destinasi wisata di Mojokerto? Bisa masuk list nih, Air Terjun Dlundung. Tempatnya mudah dijangkau. Kawasan wisatanya lumayan luas. Selain air terjun ada camping ground juga. Wahana disekitar air terjun ada Naik Kuda, Tubing dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"438","Tatik Tulus Wp","Parkir agak jauh, murah, tempatnya, Dingin, masih alami, ada taman kelinci yg bagus","positif","","","","","","","","","","","","","","","","","","","","","",""
"439","Capt' Zellain","Sangat suka, makanan disana juga ga kalah enak
Parkir sepeda motor agak kedalam jadi lumayan","netral","","","","","","","","","","","","","","","","","","","","","",""
"440","OM CANDRA TV (Ayah)","Alhamdulillaah, sampai juga di Air Terjun Dlundung. Perjalanan 1 jam dari Suko-Sidoarjo, menuju ke sana sempat melewati hutan. Pakai gear 3,2,1 aja, naik turun. Sesampai di lokasi, udaranya sangat diingiiiin. Tiket Rp23.000 untuk …","positif","","","","","","","","","","","","","","","","","","","","","",""
"441","Joko Mardianto","Okelah tempat ini, murah meriah...
Ada camping ground disini, ada wisata kelinci, tentunya air terjunnya yg menjadi spot utama. …","netral","","","","","","","","","","","","","","","","","","","","","",""
"442","Mochammad Yanuardi","Semakin bagus tertata sudah banyak jualan dan cafe","positif","","","","","","","","","","","","","","","","","","","","","",""
"443","affan redha","Tempat yg asik untuk liburan keluarga, baxak tempat tempat menarik untuk d jadikan foto selfy. Dan ternyata disini jga bsa menjadi tempat camping, bgi yg suka kemping gk mau ribet naik gunung ya di dlundung sini tempatnya... Suasana yg msih asli layaknya d alam bebas. Good place for enjoy yours self 😋😎 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"444","Laris Jaya Gorden","Suasana alam nan asri ada di sini.. jangan lupa bawa jaket ya kalau mau kesini teman teman ... owh ya disini bisa camping juga ya. Bawa tuh tenda ke sini jangan di halaman rumah saja kamping nya hehehe","positif","","","","","","","","","","","","","","","","","","","","","",""
"445","Densai Densai","Tempat sudah nyaman.wisata gak monoton di air terjun.
Ada taman tempat santai,taman kelinci dan kalau main air gak harus di dekat air terjun.agak kebawah juga ada(omah camping)","positif","","","","","","","","","","","","","","","","","","","","","",""
"446","HADI 212","Tempatnya seram bangat.  Saya survival disana 4 hari 4 malam. Dan sangat dingin airnya, saya juga senang berkunjung kesana","positif","","","","","","","","","","","","","","","","","","","","","",""
"447","Rahma Pratiwi","Tempatnya semakin bagus ,keren😎cocok utk liburan bersama keluarga tercinta,atau bersama org tersayang😍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"448","Adek Giribana","Tiket murah meriah...wisata suejuk...asri. aman. Bermacam2 arena wisata. Petugas dan penjual ramah","positif","","","","","","","","","","","","","","","","","","","","","",""
"449","agung hartadi","Cukup bersih. Tiket agak mahal. Untuk masuk taman kelinci harus bayar lagi Rp. 5000. Toilet bayar lagi. Sungai kecil di dalam taman kelinci bersih dan bagus buat spot foto. Jalan ke air terjun cukup menantang.","netral","","","","","","","","","","","","","","","","","","","","","",""
"450","Binti Muslikah","Menyenangkan.... Cocok tuk warga kota yg sejenak melepas penat.. Asri.. Hijau... Bening airnya","positif","","","","","","","","","","","","","","","","","","","","","",""
"451","Syamrotul Fiqriyah","Tempatnya keren banget,,, banyak spot buat selfie. Sekarang sudah dipercantik dengan tempat buat duduk dan santai. Ramah anak","positif","","","","","","","","","","","","","","","","","","","","","",""
"452","Ika Ruliyanti","Kedua kalinya berkunjung ke tempat ini,,,,dan tetap ramai saat weekend ,,","positif","","","","","","","","","","","","","","","","","","","","","",""
"453","Sotyasari Dhanisworo","Air terjunnya bagus bangeett!! Cocok untuk bersantai atau pun keluarga yang sedang berwisata sekedar menikmati udara sejuk.","positif","","","","","","","","","","","","","","","","","","","","","",""
"454","daniya maula","Alhamdulillah banyak renovasi, semakin baik dan kalo aku sih ga terlalu dingin ,
Ada taman kelinci juga","positif","","","","","","","","","","","","","","","","","","","","","",""
"455","Wlady Widia Anggraini","Hawa nya sangat sejuk,cocok untuk kita yg ingin melepas kepenatan di kota bersama keluarga,disana lengkap,ada warung musholla,tempat parkir pun luas
Airnya pun jernih sekali bening seperti kaca","positif","","","","","","","","","","","","","","","","","","","","","",""
"456","fatimah anggi","Nyampe loket sekitar jam 7an. Byar tiket 28rb. Dsana sdah bnyak mobil dan tenda yg parkir. Suasanya masih sepi, tp tetep bersih loo.. bnyak tong sampah yg d sediakan. Pengunjungpun mematuhinya untuk tidak buang sampah sembarangan. Nyampe …","positif","","","","","","","","","","","","","","","","","","","","","",""
"457","Artha Nugraha Jonar","tempatnya bagus, cocok buat rekreasi keluarga. banyak warung makan juga dengan harga terjangkau. banyak spot untuk duduk. ada juga taman kelinci","positif","","","","","","","","","","","","","","","","","","","","","",""
"458","Feri Firdiansyah","Tempat wisatanya bersih, sejuk banget, dan banyak wisata edukasi lainnya
Terutama air terjunnya yang ga begitu deras jadi anak kecil bisa bermain disekitar air terjun dan bisa mandi disana","positif","","","","","","","","","","","","","","","","","","","","","",""
"459","Moh Syamsudin","Wisata air terjun sekaligus tempat ngecamp. Lokasi mudah diketahui. Pemandangan sangat bagus dan alami. Banyak pedagang disini","positif","","","","","","","","","","","","","","","","","","","","","",""
"460","Medokan Sawah","Seneng kesini sama 2 anak, berenang disana..

Byr 23rb, untuk tiket msuk  dewasa2, parkir 2rb, asuransi 2org seribu","positif","","","","","","","","","","","","","","","","","","","","","",""
"461","Channelnya Bu Tini","Wisata alam air terjun dengan spot foto alam yang asri dan segar
Untuk menuju air terjunnya juga aman dan mudah
Siiip 👍👍👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"462","Aries Zulkarnaen","Adem tempatnya","positif","","","","","","","","","","","","","","","","","","","","","",""
"463","eunike julia fantoni","Bagus. Untuk ke air terjun tidak perlu mendaki jauh2. Dr parkir mobil cukup jalan 100meter sudah sampai di air terjun. Tempatnya dangkal, jd anak2 bs main tanpa mengkhawatirkan. Disekitar jual gorengan enak dan murah meriah. Ada pula tempat taman kelinci, bayar 5rb. Anak2 makin suka.","positif","","","","","","","","","","","","","","","","","","","","","",""
"464","Aldist Sky","Tempat yg asyik buat wisata keluarga tp skrg airnya keruh mgkn terlalu banyaknya pengunjung...untuk para pengelolah agar d perbaiki lg fasilitasnya lbh bagus","positif","","","","","","","","","","","","","","","","","","","","","",""
"465","Khoiron Alkawakib","Dulu di tahun 2000 yang saya tahu tentang Dlundung yaitu terkenal dengan tempat perkemahan, tapi beberapa tahun terakhir ini dapat informasi dari teman-teman kalau di Dlundung juga ada Air terjun yang bagus. Pertama kali saya kesini cukup takjub, next time bakal kesini lagi","positif","","","","","","","","","","","","","","","","","","","","","",""
"466","Mamik Setyawan","Sangat sangat berubah banget, mungkin untuk pengelola bisa menambahkan tempat duduk di aliran air atau cafe air","positif","","","","","","","","","","","","","","","","","","","","","",""
"467","Nobel Rizkiyono","tempatnya bagus,udaranya juga segar, fasilitas lumayan lengkap, banyak yang berjualan makanan di sekitar situ , akses ke lokasi juga mudah","positif","","","","","","","","","","","","","","","","","","","","","",""
"468","Imam Buqkori","Sungu indah tempat nya karena betul"" masih asli dan alami terutama air terjun nya membuat pingin balik berkunjung
Tempat nya enak cocok untuk keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"469","Luth Subrata","Dari lokasi parkir,  jalan cukup 3 menit nyampe air terjun,  jajanan bakso,  rawon,  mie instan dg harga wajar.","positif","","","","","","","","","","","","","","","","","","","","","",""
